,seat,city,state
0,Adelaide,Port Adelaide Enfield,South Australia
1,Aston,City of Knox,Victoria
2,Ballarat,City of Ballarat,Victoria
3,Banks,Georges River,New South Wales
4,Barker,Adelaide,South Australia
5,Barton,Bayside Council,New South Wales
6,Bass,Launceston,Tasmania
7,Batman,City of Yarra,Victoria
8,Bendigo,City of Greater Bendigo,Victoria
9,Bennelong,Willoughby,New South Wales
10,Berowra,The Hills,New South Wales
11,Blair,Ipswich,Queensland
12,Blaxland,Canterbury-Bankstown,New South Wales
13,Bonner,Brisbane,Queensland
14,Boothby,Onkaparinga,South Australia
15,Bowman,Brisbane,Queensland
16,Braddon,Burnie,Tasmania
17,Bradfield,Hornsby,New South Wales
18,Brand,Perth,Western Australia
19,Brisbane,Brisbane,Queensland
20,Bruce,City of Monash,Victoria
21,Burt,Perth,Western Australia
22,Calare,Blayney,New South Wales
23,Calwell,City of Hume,Victoria
24,Canberra,Woden Valley,Australian Capital Territory
25,Canning,Perth,Western Australia
26,Capricornia,Rockhampton,Queensland
27,Casey,Shire of Yarra Ranges,Victoria
28,Chifley,Blacktown,New South Wales
29,Chisholm,City of Monash,Victoria
30,Cook,Georges River,New South Wales
31,Corangamite,Surf Coast Shire,Victoria
32,Corio,City of Greater Geelong,Victoria
33,Cowan,City of Wanneroo,Western Australia
34,Cowper,Kempsey Shire Council,New South Wales
35,Cunningham,Wollongong,New South Wales
36,Curtin,Perth,Western Australia
37,Dawson,Mackay,Queensland
38,Deakin,City of Maroondah,Victoria
39,Denison,Hobart,Tasmania
40,Dickson,Brisbane,Queensland
41,Dobell,Central Coast,New South Wales
42,Dunkley,City of Frankston,Victoria
43,Durack,Geraldton,Western Australia
44,Eden-Monaro,Snowy Monaro,New South Wales
45,Fadden,Gold Coast,Queensland
46,Fairfax,Maroochydore,Queensland
47,Farrer,Albury,New South Wales
48,Fenner,Gungahlin,Australian Capital Territory
49,Fisher,Maroochydore,Queensland
50,Flinders,Shire of Mornington Peninsula,Victoria
51,Flynn,Rockhampton,Queensland
52,Forde,Brisbane,Queensland
53,Forrest,Bunbury,Western Australia
54,Fowler,Liverpool,New South Wales
55,Franklin,Hobart,Tasmania
56,Fremantle,Perth,Western Australia
57,Gellibrand,City of Hobsons Bay,Victoria
58,Gilmore,Shoalhaven,New South Wales
